Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags
"1","1","Abundance","Tenth Edition","Near Mint","English","",""
"1","1","Abomination","Fourth Edition","Near Mint","English","",""
"1","1","Abbey Gargoyles","Fifth Edition","Near Mint","English","",""
"1","1","Abduction","Classic Sixth Edition","Near Mint","English","",""
"1","1","Abyssal Horror","Seventh Edition","Near Mint","English","",""
"1","1","Abyssal Specter","Eighth Edition","Near Mint","English","",""
"1","1","Adarkar Wastes","Ninth Edition","Near Mint","English","",""
"1","1","Aegis Automaton","Aether Revolt","Near Mint","English","",""
"1","1","Anathemancer","Alara Reborn","Near Mint","English","",""
"1","1","Ashnod's Cylix","Alliances","Near Mint","English","",""
"1","1","Ahn-Crop Champion","Amonkhet","Near Mint","English","",""
"1","1","Aggravated Assault","Amonkhet Invocations","Near Mint","English","foil",""
"1","1","Aesthir Glider","Anthologies","Near Mint","English","",""
"1","1","Amulet of Kroog","Antiquities","Near Mint","English","",""
"1","1","Aether Mutation","Apocalypse","Near Mint","English","",""
"1","1","Abu Ja'far","Arabian Nights","Near Mint","English","",""
"1","1","Aether Spellbomb","Archenemy","Near Mint","English","",""
"1","1","Aegis Angel","Archenemy: Nicol Bolas","Near Mint","English","",""
"1","1","Arc Lightning","Arena League","Near Mint","English","foil",""
"1","1","Blue Elemental Blast","Armada Comics","Near Mint","English","",""
"1","1","Abundant Growth","Avacyn Restored","Near Mint","English","",""
"1","1","Aim High","Battlebond","Near Mint","English","",""
"1","1","Adverse Conditions","Battle for Zendikar","Near Mint","English","",""
"1","1","Abyssal Specter","Battle Royale Box Set","Near Mint","English","",""
"1","1","Air Elemental","Beatdown Box Set","Near Mint","English","",""
"1","1","Akki Blizzard-Herder","Betrayers of Kamigawa","Near Mint","English","",""
"1","1","Arena","Book Insert","Near Mint","English","",""
"1","1","Acolyte's Reward","Born of the Gods","Near Mint","English","",""
"1","1","Archfiend of Ifnir","Media Inserts","Near Mint","English","foil",""
"1","1","Akki Avalanchers","Champions of Kamigawa","Near Mint","English","",""
"1","1","Blood Knight (2007)","Champs","Near Mint","English","",""
"1","1","Abu Ja'far","Chronicles","Near Mint","English","",""
"1","1","Adarkar Valkyrie","Coldsnap","Near Mint","English","",""
"1","1","Arcum's Weathervane","Coldsnap Theme Decks","Near Mint","English","",""
"1","1","Air Elemental","Collector's Edition","Near Mint","English","",""
"1","1","Acidic Slime","Commander","Near Mint","English","",""
"1","1","Acidic Slime","Commander 2013","Near Mint","English","",""
"1","1","Abyssal Persecutor","Commander 2014","Near Mint","English","",""
"2","2","Acidic Slime","Commander 2015","Near Mint","English","",""
"1","1","Abzan Charm","Commander 2016","Near Mint","English","",""
"1","1","Abundance","Commander 2017","Near Mint","English","",""
"1","1","Acidic Slime","Commander 2018","Near Mint","English","",""
"1","1","Acidic Slime","Commander Anthology","Near Mint","English","",""
"1","1","Abzan Falconer","Commander Anthology Volume II","Near Mint","English","",""
"1","1","Chaos Warp","Commander's Arsenal","Near Mint","English","foil",""
"1","1","Absorb Vis","Conflux","Near Mint","English","",""
"1","1","Academy Elite","Conspiracy","Near Mint","English","",""
"1","1","Absorb Vis","Conspiracy: Take the Crown","Near Mint","English","",""
"1","1","Aeronaut Tinkerer (2015)","Convention","Near Mint","English","foil",""
"1","1","Abnormal Endurance","Core Set 2019","Near Mint","English","",""
"1","1","Shivan Dragon","Coro Coro Comic","Near Mint","English","",""
"1","1","Afflicted Deserter","Dark Ascension","Near Mint","English","",""
"1","1","Aether Snap","Darksteel","Near Mint","English","",""
"1","1","Counterspell","Legend Membership","Near Mint","English","",""
"1","1","Abyssal Specter","Deckmasters","Near Mint","English","",""
"1","1","Aethermage's Touch","Dissension","Near Mint","English","",""
"1","1","Academy Drake","Dominaria","Near Mint","English","",""
"1","1","Advent of the Wurm","Dragon's Maze","Near Mint","English","",""
"1","1","Acid-Spewer Dragon","Dragons of Tarkir","Near Mint","English","",""
"1","1","Dragon Fodder","Dragons of Tarkir Dragonfury Game","Near Mint","English","",""
"1","1","Ageless Entity","Duel Decks: Ajani vs. Nicol Bolas","Near Mint","English","",""
"1","1","Abyssal Gatekeeper","Duel Decks: Anthology","Near Mint","English","",""
"1","1","Abattoir Ghoul","Duel Decks: Blessed vs. Cursed","Near Mint","English","",""
"1","1","Abyssal Gatekeeper","Duel Decks Anthology, Divine vs. Demonic","Near Mint","English","",""
"1","1","Accumulated Knowledge","Duel Decks: Elspeth vs. Kiora","Near Mint","English","",""
"1","1","Abolish","Duel Decks: Elspeth vs. Tezzeret","Near Mint","English","",""
"1","1","Akki Coalflinger","Duel Decks Anthology, Elves vs. Goblins","Near Mint","English","",""
"1","1","Artificer's Epiphany","Duel Decks: Elves vs. Inventors","Near Mint","English","",""
"1","1","Albino Troll","Duel Decks Anthology, Garruk vs. Liliana","Near Mint","English","",""
"1","1","Anax and Cymede","Duel Decks: Heroes vs. Monsters","Near Mint","English","",""
"1","1","Barren Moor","Duel Decks: Izzet vs. Golgari","Near Mint","English","",""
"1","1","Aethersnipe","Duel Decks Anthology, Jace vs. Chandra","Near Mint","English","",""
"1","1","Acidic Slime","Duel Decks: Jace vs. Vraska","Near Mint","English","",""
"1","1","Alaborn Cavalier","Duel Decks: Knights vs. Dragons","Near Mint","English","",""
"1","1","Aquitect's Will","Duel Decks: Merfolk vs. Goblins","Near Mint","English","",""
"1","1","Ambassador Oak","Duel Decks: Mind vs. Might","Near Mint","English","",""
"1","1","Abundance","Duel Decks: Nissa vs. Ob Nixilis","Near Mint","English","",""
"1","1","Allied Strategies","Duel Decks: Phyrexia vs. the Coalition","Near Mint","English","",""
"1","1","Absorb Vis","Duel Decks: Sorin vs. Tibalt","Near Mint","English","",""
"1","1","Act of Treason","Duel Decks: Speed vs. Cunning","Near Mint","English","",""
"1","1","Aether Membrane","Duel Decks: Venser vs. Koth","Near Mint","English","",""
"1","1","Affa Guard Hound","Duel Decks: Zendikar vs. Eldrazi","Near Mint","English","",""
"1","1","Abyssal Specter","Duels of the Planeswalkers","Near Mint","English","",""
"1","1","Bonescythe Sliver (2014)","Duels of the Planeswalkers Game Promos","Near Mint","English","foil",""
"1","1","Abandon Reason","Eldritch Moon","Near Mint","English","",""
"1","1","Abundant Growth","Eternal Masters","Near Mint","English","",""
"1","1","Aerie Ouphes","Eventide","Near Mint","English","",""
"1","1","Aether Tide","Exodus","Near Mint","English","",""
"1","1","Abzan Advantage","Fate Reforged","Near Mint","English","",""
"1","1","Akroma, Angel of Fury","From the Vault: Angels","Near Mint","English","foil",""
"1","1","Cao Cao, Lord of Wei","From the Vault: Legends","Near Mint","English","foil",""
"1","1","Archangel Avacyn","From the Vault: Transform","Near Mint","English","foil",""
"1","1","Abrade (Full Art)","Magic Game Day Cards","Near Mint","English","",""
"1","1","Chief of the Foundry","Gift Box Promos","Near Mint","English","foil",""
"1","1","Abrupt Decay","Guild Kit (Golgari)","Near Mint","English","",""
"1","1","Angel of Despair","Guild Kit (Orzhov)","Near Mint","English","",""
"1","1","Auger Spree","Guild Kit (Rakdos)","Near Mint","English","",""
"1","1","Absolver Thrull","Guildpact","Near Mint","English","",""
"1","1","Dragon Token","HasCon","Near Mint","English","foil",""
"1","1","Abyssal Specter","Ice Age","Near Mint","English","",""
"1","1","Abattoir Ghoul","Innistrad","Near Mint","English","",""
"1","1","Absorb","Invasion","Near Mint","English","",""
"1","1","Accomplished Automaton","Kaladesh","Near Mint","English","",""
"1","1","Aether Vial","Kaladesh Inventions","Near Mint","English","foil",""
"1","1","Evolving Wilds","League Promos","Near Mint","English","foil",""
"1","1","Air Elemental","Limited Edition Alpha","Near Mint","English","",""
"1","1","Acidic Slime","Magic 2010","Near Mint","English","",""
"1","1","Academy Raider","Magic 2014 Core Set","Near Mint","English","",""
"1","1","Abbot of Keral Keep","Magic Origins","Near Mint","English","",""
"1","1","Abyssal Hunter","Mirage","Near Mint","English","",""
"1","1","Burrenton Forge-Tender","Modern Event Deck 2014","Near Mint","English","",""
"1","1","Abrupt Decay","Modern Masters 2017 Edition","Near Mint","English","",""
"1","1","Flooded Strand","Nationals","Near Mint","English","foil",""
"1","1","Adaptive Automaton","Explorers of Ixalan","Near Mint","English","",""
"1","1","Aeolipile","Fallen Empires","Near Mint","English","",""
"1","1","Abuna's Chant","Fifth Dawn","Near Mint","English","",""
"1","1","Abzan Beastmaster","Friday Night Magic","Near Mint","English","foil",""
"1","1","Bladewing the Risen","From the Vault: Dragons","Near Mint","English","foil",""
"1","1","Balance","From the Vault: Exiled","Near Mint","English","foil",""
"1","1","Ancient Tomb","From the Vault: Realms","Near Mint","English","foil",""
"1","1","Aether Vial","From the Vault: Relics","Near Mint","English","foil",""
"1","1","Akroma's Memorial","Future Sight","Near Mint","English","",""
"1","1","Act of Treason","Gatecrash","Near Mint","English","",""
"1","1","Archangel","Gotta Magazine","Near Mint","English","",""
"1","1","All Is Dust","Grand Prix","Near Mint","English","foil",""
"1","1","Agrus Kos, Wojek Veteran","Guild Kit (Boros)","Near Mint","English","",""
"1","1","Call of the Nightwing","Guild Kit (Dimir)","Near Mint","English","",""
"1","1","Cerebral Vortex","Guild Kit (Izzet)","Near Mint","English","",""
"1","1","Cloudfin Raptor","Guild Kit (Simic)","Near Mint","English","",""
"1","1","Forest","Guru","Near Mint","English","",""
"1","1","Abandoned Sarcophagus","Hour of Devastation","Near Mint","English","",""
"1","1","Acquire","IDW Comics","Near Mint","English","",""
"1","1","Alhammarret, High Arbiter","Intro Pack Alternate Art","Near Mint","English","foil",""
"1","1","Adanto Vanguard","Ixalan","Near Mint","English","",""
"1","1","City of Brass","Super Series","Near Mint","English","foil",""
"1","1","Ancestor's Chosen","Judgment","Near Mint","English","",""
"1","1","Ajani Vengeant","Launch Parties","Near Mint","English","foil",""
"1","1","Akroma, Angel of Wrath","Legions","Near Mint","English","",""
"1","1","Air Elemental","Limited Edition Beta","Near Mint","English","",""
"1","1","Acidic Slime","Magic 2011","Near Mint","English","",""
"1","1","Accursed Spirit","Magic 2015 Core Set","Near Mint","English","",""
"1","1","Fated Intervention","Magic 2015 Clash Pack Promos","Near Mint","English","foil",""
"1","1","Dromoka, the Eternal","Magic Origins Clash Pack Promos","Near Mint","English","foil",""
"1","1","Accumulated Knowledge","Masters 25","Near Mint","English","",""
"1","1","Aether Spellbomb","Mirrodin","Near Mint","English","",""
"1","1","Pristine Talisman","Mirrodin Pure Preview","Near Mint","English","",""
"1","1","Absorb Vis","Modern Masters","Near Mint","English","",""
"1","1","Ambassador Oak","Morningtide","Near Mint","English","",""
"1","1","Courser of Kruphix","Fate Reforged Clash Pack Promos","Near Mint","English","foil",""
"1","1","Armageddon","From the Vault: Annihilation","Near Mint","English","foil",""
"1","1","Beseech the Queen","From the Vault: Lore","Near Mint","English","foil",""
"1","1","Akroma's Vengeance","From the Vault: Twenty","Near Mint","English","foil",""
"1","1","Advanced Stitchwing","Game Night","Near Mint","English","",""
"1","1","Aggressive Instinct","Global Series: Jiang Yanggu & Mu Yanling","Near Mint","English","",""
"1","1","Archon of the Triumvirate","Guild Kit (Azorius)","Near Mint","English","",""
"1","1","Birds of Paradise","Guild Kit (Gruul)","Near Mint","English","",""
"1","1","Advent of the Wurm","Guild Kit (Selesnya)","Near Mint","English","",""
"1","1","Affectionate Indrik","Guilds of Ravnica","Near Mint","English","",""
"1","1","Abbey Gargoyles","Homelands","Near Mint","English","",""
"1","1","Abyssal Persecutor","Iconic Masters","Near Mint","English","",""
"1","1","Air Elemental","International Edition","Near Mint","English","",""
"1","1","Aegis of the Gods","Journey into Nyx","Near Mint","English","",""
"1","1","Argothian Enchantress","Judge Gift Program","Near Mint","English","foil",""
"1","1","Abomination of Gudul","Khans of Tarkir","Near Mint","English","",""
"1","1","Abomination","Legends","Near Mint","English","",""
"1","1","Adder-Staff Boggart","Lorwyn","Near Mint","English","",""
"1","1","Acidic Slime","Magic 2012","Near Mint","English","",""
"1","1","Acidic Slime","Magic 2013","Near Mint","English","",""
"1","1","Forest","MagicFest","Near Mint","English","foil",""
"1","1","Aerial Caravan","Mercadian Masques","Near Mint","English","",""
"1","1","Accorder Paladin","Mirrodin Besieged","Near Mint","English","",""
"1","1","Bishop of Rebirth","Miscellaneous Promos","Near Mint","English","foil",""
"1","1","Aethersnipe","Modern Masters 2015 Edition","Near Mint","English","",""
"1","1","Ajani, Mentor of Heroes (Full Art)","Mythic Edition","Near Mint","English","foil",""
"1","1","Accumulated Knowledge","Nemesis","Near Mint","English","",""
"1","1","Root Greevil","Planeshift","Near Mint","English","",""
"1","1","Alabaster Dragon","Portal","Near Mint","English","",""
"1","1","Abyssal Nightstalker","Portal Second Age","Near Mint","English","",""
"1","1","Alert Shu Infantry","Portal Three Kingdoms","Near Mint","English","",""
"1","1","Ball Lightning","Premium Deck Series: Fire and Lightning","Near Mint","English","foil",""
"1","1","Animate Dead","Premium Deck Series: Graveborn","Near Mint","English","foil",""
"1","1","Acidic Sliver","Premium Deck Series: Slivers","Near Mint","English","foil",""
"1","1","Abandoned Sarcophagus","Prerelease Events","Near Mint","English","foil",""
"1","1","Abolish","Prophecy","Near Mint","English","",""
"1","1","Ajani Goldmane","Pro Tour","Near Mint","English","foil",""
"1","1","Absorb","Ravnica Allegiance","Near Mint","English","",""
"1","1","Agrus Kos, Wojek Veteran","Ravnica: City of Guilds","Near Mint","English","",""
"1","1","Forest (#A06)","Ravnica Weekend Promos","Near Mint","English","foil",""
"1","1","Emrakul, the Aeons Torn","Regional PTQ Promos","Near Mint","English","foil",""
"1","1","Angelic Skirmisher","Resale Promos","Near Mint","English","foil",""
"1","1","Abrupt Decay","Return to Ravnica","Near Mint","English","",""
"1","1","Air Elemental","Revised Edition","Near Mint","English","",""
"1","1","Affa Guard Hound","Rise of the Eldrazi","Near Mint","English","",""
"1","1","Admiral's Order","Rivals of Ixalan","Near Mint","English","",""
"1","1","Adamaro, First to Desire","Saviors of Kamigawa","Near Mint","English","",""
"1","1","Abuna Acolyte","Scars of Mirrodin","Near Mint","English","",""
"1","1","Accelerated Mutation","Scourge","Near Mint","English","",""
"1","1","Ajani, Caller of the Pride (2013)","SDCC","Near Mint","English","foil",""
"1","1","Advice from the Fae","Shadowmoor","Near Mint","English","",""
"1","1","Aberrant Researcher","Shadows over Innistrad","Near Mint","English","",""
"1","1","Ad Nauseam","Shards of Alara","Near Mint","English","",""
"1","1","Forest","Showdown Promos","Near Mint","English","foil",""
"1","1","Blue Elemental Blast","Signature Spellbook: Jace","Near Mint","English","",""
"1","1","Evil Presents","Happy Holidays","Near Mint","English","foil",""
"1","1","Abyssal Horror","Starter 1999","Near Mint","English","",""
"1","1","Rhox","Starter 2000","Near Mint","English","foil",""
"1","1","Dauntless Dourbark","States 2008","Near Mint","English","foil",""
"1","1","Demon of Catastrophes (Full Art)","Store Championship Promos","Near Mint","English","foil",""
"1","1","Acidic Sliver","Stronghold","Near Mint","English","",""
"1","1","Abandon Hope","Tempest","Near Mint","English","",""
"1","1","Amnesia","The Dark","Near Mint","English","",""
"1","1","Abhorrent Overlord","Theros","Near Mint","English","",""
"1","1","Academy Ruins","Time Spiral ""Timeshifted""","Near Mint","English","",""
"1","1","Lightning Hounds","TopDeck Magazine","Near Mint","English","foil",""
"1","1","Accelerate","Torment","Near Mint","English","",""
"1","1","Underworld Dreams","Two-Headed Giant Tournament","Near Mint","English","foil",""
"1","1","Ainok Tracker","Ugin's Fate Promos","Near Mint","English","",""
"1","1","Aethersnipe","Ultimate Masters","Near Mint","English","",""
"1","1","Ancient Tomb","Ultimate Masters: Box Toppers","Near Mint","English","foil",""
"1","1","Ashnod's Coupon","Unglued","Near Mint","English","",""
"1","1","_____","Unhinged","Near Mint","English","",""
"1","1","Air Elemental","Unlimited Edition","Near Mint","English","",""
"1","1","Accessories to Murder","Unstable","Near Mint","English","",""
"1","1","Academy Rector","Urza's Destiny","Near Mint","English","",""
"1","1","About Face","Urza's Legacy","Near Mint","English","",""
"1","1","Absolute Grace","Urza's Saga","Near Mint","English","",""
"1","1","Aku Djinn","Visions","Near Mint","English","",""
"1","1","Ahn-Crop Invader","War of the Spark","Near Mint","English","",""
"1","1","Abduction","Weatherlight","Near Mint","English","",""
"1","1","Aegis Angel","Welcome Deck 2016","Near Mint","English","",""
"1","1","Air Elemental","Welcome Deck 2017","Near Mint","English","",""
"1","1","Abrupt Decay","World Magic Cup Qualifiers","Near Mint","English","foil",""
"1","1","Academy Rector (Nicolas Labarre 2000)","World Championship","Near Mint","English","",""
"1","1","Abyssal Persecutor","Worldwake","Near Mint","English","",""
"1","1","Auramancer","Summer of Magic","Near Mint","English","foil",""
"1","1","Adventuring Gear","Zendikar","Near Mint","English","",""
"1","1","Ancient Tomb","Zendikar Expeditions","Near Mint","English","foil",""
